;1;Soft Coated Wheaten Terrier;Ирландский мягкошёрстный пшеничный терьер
;1;South Russian Ovcharka;Южнорусская овчарка
;1;Spitz German ;Шпиц немецкий
;1;Staffordshire Bull Terrier;Стаффордширский бультерьер
;1;Standard Schnauzer;Миттельшнауцер
;1;Sussex Spaniel;Суссекс-спаниель
;1;Swedish Lapphund;Шведский лапхунд
;1;Swedish Vallhund;Шведский вальхунд
;1;Tazi ;Тазы 
;1;Thai Ridgeback;Риджбек тайский
;1;Tibetan Mastiff;Тиетский мастиф
;1;Tibetan Spaniel;Тибетский спаниель
;1;Tibetan Terrier;Тибетский терьер
;1;Tosa ;Тоса-ину
;1;Toy Fox Terrier;Американский той-фокстерьер
;1;Vizsla;Венгерская выжла
;1;Weimaraner;Веймаранер
;1;Welsh Springer Spaniel;Вельш-спрингер-спаниель
;1;Welsh Terrier;Вельштерьер
;1;West Highland White Terrier;Вест-хайленд-уайт-терьер
;1;Whippet;Уиппет
;1;Xoloitzcuintli;Ксолоитцкуинтли 
;1;Yorkipoo;метис
;1;Yorkshire Terrier;Йоркширский терьер
